Date : 2024-03-12 20:52:40
Directory : /Users/richardtozer/dev/projects/daufootytipping
Total : 165 files,  19716 codes, 1098 comments, 1296 blanks, all 22110 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         18 |      8,685 |          1 |         12 |      8,698 |
| Dart               |         59 |      7,048 |        701 |        908 |      8,657 |
| XML                |         48 |      2,863 |         86 |         71 |      3,020 |
| C++                |         16 |        561 |        121 |        182 |        864 |
| TypeScript         |          3 |        110 |         67 |         18 |        195 |
| Gradle             |          3 |        104 |          4 |         22 |        130 |
| Swift              |          6 |         93 |          9 |         21 |        123 |
| YAML               |          3 |         87 |         77 |         13 |        177 |
| Shell Script       |          2 |         38 |         16 |         16 |         70 |
| HTML               |          1 |         38 |         16 |          6 |         60 |
| Markdown           |          2 |         34 |          0 |         23 |         57 |
| JavaScript         |          1 |         32 |          0 |          1 |         33 |
| JSON with Comments |          1 |         15 |          0 |          1 |         16 |
| Properties         |          2 |          8 |          0 |          2 |         10 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        165 |     19,716 |      1,098 |      1,296 |     22,110 |
| . (Files)                                                                                                                 |         10 |        244 |         82 |         41 |        367 |
| .fvm                                                                                                                      |          1 |          4 |          0 |          0 |          4 |
| android                                                                                                                   |         14 |        239 |         52 |         36 |        327 |
| android (Files)                                                                                                           |          3 |         42 |          0 |         10 |         52 |
| android/app                                                                                                               |         10 |        192 |         52 |         25 |        269 |
| android/app (Files)                                                                                                       |          2 |        120 |          4 |         13 |        137 |
| android/app/src                                                                                                           |          8 |         72 |         48 |         12 |        132 |
| android/app/src/debug                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                      |          6 |         66 |         40 |         10 |        116 |
| android/app/src/main (Files)                                                                                              |          1 |         34 |          8 |          4 |         46 |
| android/app/src/main/res                                                                                                  |          5 |         32 |         32 |          6 |         70 |
| android/app/src/main/res/drawable                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/mipmap-anydpi-v26                                                                                |          1 |          6 |          0 |          0 |          6 |
| android/app/src/main/res/values                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                    |         37 |      2,384 |         36 |         56 |      2,476 |
| assets/teams                                                                                                              |         37 |      2,384 |         36 |         56 |      2,476 |
| assets/teams (Files)                                                                                                      |          2 |         38 |          1 |          1 |         40 |
| assets/teams/afl                                                                                                          |         18 |      1,268 |         18 |         36 |      1,322 |
| assets/teams/nrl                                                                                                          |         17 |      1,078 |         17 |         19 |      1,114 |
| functions                                                                                                                 |          8 |      8,517 |         67 |         23 |      8,607 |
| functions (Files)                                                                                                         |          5 |      8,407 |          0 |          5 |      8,412 |
| functions/src                                                                                                             |          3 |        110 |         67 |         18 |        195 |
| functions/src (Files)                                                                                                     |          1 |          2 |          4 |          2 |          8 |
| functions/src/services                                                                                                    |          2 |        108 |         63 |         16 |        187 |
| ios                                                                                                                       |         11 |        156 |         18 |         27 |        201 |
| ios (Files)                                                                                                               |          1 |          7 |          0 |          0 |          7 |
| ios/Runner                                                                                                                |          8 |        130 |          4 |         11 |        145 |
| ios/Runner (Files)                                                                                                        |          2 |         20 |          2 |          4 |         26 |
| ios/Runner/Assets.xcassets                                                                                                |          4 |         46 |          0 |          5 |         51 |
| ios/Runner/Assets.xcassets (Files)                                                                                        |          1 |          6 |          0 |          1 |          7 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                             |          1 |         14 |          0 |          1 |         15 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                     |          2 |         64 |          2 |          2 |         68 |
| ios/RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios/ci_scripts                                                                                                            |          1 |         12 |         12 |         12 |         36 |
| lib                                                                                                                       |         52 |      6,609 |        628 |        856 |      8,093 |
| lib (Files)                                                                                                               |          3 |        171 |         25 |         30 |        226 |
| lib/extensions                                                                                                            |          1 |         15 |          1 |          4 |         20 |
| lib/models                                                                                                                |         15 |        857 |         65 |        102 |      1,024 |
| lib/pages                                                                                                                 |         27 |      5,118 |        411 |        607 |      6,136 |
| lib/pages/admin_daucomps                                                                                                  |          6 |      1,655 |        213 |        273 |      2,141 |
| lib/pages/admin_teams                                                                                                     |          3 |        359 |         15 |         49 |        423 |
| lib/pages/admin_tippers                                                                                                   |          3 |        763 |         69 |         90 |        922 |
| lib/pages/user_auth                                                                                                       |          1 |        177 |         11 |         21 |        209 |
| lib/pages/user_home                                                                                                       |         14 |      2,164 |        103 |        174 |      2,441 |
